BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Black_russian_terrier,,Working,Guardian,51,"Brave, Confident, Energetic, Hardy, Lively, Stable",2150,,6,,,,116
Bloodhound,,Hound,Scenthound,46,"Affectionate, Even-tempered, Gentle, Stubborn, Independent",1000,74,1,,,,50
Bluetick_coonhound,Bluetick,Hound,Scenthound,28,"Friendly, Active, Gentle",550,,1,,,,132
Border_collie,,Herding,Herding,17,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",700,1,6,,,,38
Border_terrier,,Terrier,Terrier,7,"Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient",1300,30,4,,,,92
Borzoi,,Hound,Sight,41,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",1100,75,1,,,,102
Boston_terrier,Boston Bull,Non Sporting,Companion,9,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",750,54,3,,,,21
Bouvier_des_flanders,,Herding,Herding,42,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",1750,29,5,,,,85
Boxer,,Working,Guardian,30,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",900,49,5,,,,11
Boykin_spaniel,,Sporting,Gun,15,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",900,,3,,,,98
Briard,,Herding,Gun,35,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",1100,30,6,,,,127
Brittany,,Sporting,Gun,17,"Alert, Independent, Intelligent, Responsive, Social",750,19,3,,,,26
Brussels_griffon,Brabancon Griffon,Toy,Companion,4,"Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful",900,,3,,,,94
Bull_terrier,American Pit Bull Terrier,Terrier,Terrier,28,"Active, Keen, Protective, Sweet-tempered, Trainable",1350,66,6,,,,60
Bullmastiff,Bull Mastiff,Working,Guardian,55,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",1350,69,6,1,,,51
Cairn_terrier,Cairn,Terrier,Terrier,7,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",850,35,4,,,,69
Canaan_dog,,Herding,Sight,21,"Alert, Cautious, Devoted, Quick, Vigilant",1000,,3,,,,175
